listen_id,usr_ref_id,trk_ref_id,timestamp
1,167,146,2025-01-23 22:19:45
3,90,105,2025-01-06 15:32:21
5,39,119,2025-02-12 11:12:04
6,126,149,2025-03-05 19:52:42
8,173,101,2025-01-04 5:56:14
11,58,119,2025-01-17 18:46:17
15,127,134,2025-01-22 7:12:32
25,56,149,2025-03-22 14:43:06
27,166,142,2025-01-25 10:49:43
31,44,128,2025-02-01 12:00:01
35,61,142,2025-01-14 13:03:14
36,47,149,2025-02-12 14:47:22
44,146,149,2025-03-21 16:53:42
45,47,141,2025-02-27 23:13:44
46,49,107,2025-02-22 23:55:49
48,143,120,2025-02-06 0:10:06
50,1,107,2025-03-19 3:37:20
52,54,131,2025-03-21 1:50:28
55,144,146,2025-03-08 2:42:03
60,200,125,2025-03-23 13:44:09
61,102,142,2025-01-18 6:29:47
63,156,129,2025-01-19 4:29:50
64,117,149,2025-01-23 16:11:09
66,122,116,2025-01-15 19:37:24
69,90,146,2025-02-08 5:39:41
70,136,139,2025-02-05 1:15:37
73,178,126,2025-01-17 10:53:42
76,41,145,2025-02-24 4:44:39
78,155,132,2025-03-15 3:50:00
80,145,118,2025-02-28 13:20:51
82,157,115,2025-03-14 15:05:33
87,82,125,2025-03-09 17:07:23
88,115,127,2025-03-13 0:41:47
89,197,101,2025-02-25 21:18:49
92,194,108,2025-03-25 12:26:12
96,109,147,2025-02-02 2:32:29
97,5,112,2025-01-18 21:54:17
99,33,112,2025-03-10 2:13:10
103,177,103,2025-03-02 9:06:40
109,59,118,2025-03-20 16:12:10
111,177,133,2025-01-14 3:07:49
118,55,110,2025-01-25 16:22:09
119,6,100,2025-03-26 2:09:45
122,133,124,2025-01-14 14:56:37
125,181,100,2025-02-22 6:43:41
126,23,111,2025-02-12 1:44:47
127,53,106,2025-01-18 20:40:27
129,83,120,2025-02-19 5:30:11
131,85,128,2025-01-25 9:06:51
132,78,124,2025-02-13 14:03:12
135,51,131,2025-01-13 2:11:03
141,32,110,2025-02-18 1:00:06
142,34,134,2025-03-31 10:52:46
148,162,145,2025-02-26 13:17:40
150,118,102,2025-03-07 13:59:11
151,3,120,2025-02-06 12:25:34
155,193,101,2025-01-19 9:03:36
156,54,105,2025-03-28 11:45:18
158,57,128,2025-02-05 12:18:36
159,145,125,2025-02-10 13:22:23
161,47,111,2025-01-13 13:02:28
165,66,136,2025-03-10 3:19:05
166,75,114,2025-02-18 7:45:50
168,103,135,2025-02-21 13:27:49
170,192,142,2025-03-28 22:36:57
172,50,122,2025-03-18 18:02:55
173,98,105,2025-01-16 7:43:26
174,82,145,2025-02-15 20:56:59
175,30,149,2025-01-22 0:05:07
178,179,144,2025-03-12 23:34:01
183,30,146,2025-01-18 10:19:54
186,81,135,2025-02-13 18:14:39
187,133,110,2025-02-25 14:57:29
189,132,103,2025-01-29 1:51:01
192,145,121,2025-03-18 15:59:30
194,17,133,2025-01-26 18:21:56
196,69,103,2025-01-30 19:18:10
198,6,145,2025-03-04 23:33:16
200,194,128,2025-03-11 5:19:34
201,126,146,2025-02-21 0:53:16
202,43,127,2025-03-08 2:05:53
204,111,107,2025-03-06 22:32:44
205,151,115,2025-02-17 14:33:01
207,80,135,2025-03-07 23:50:08
208,95,129,2025-01-22 18:46:49
209,118,117,2025-01-05 13:09:28
210,144,101,2025-02-18 16:13:43
211,8,148,2025-01-15 2:16:09
213,104,103,2025-02-04 10:54:19
214,132,125,2025-02-18 13:06:16
215,184,124,2025-01-19 15:14:46
217,195,110,2025-01-03 19:10:53
218,96,106,2025-02-08 15:20:50
219,195,130,2025-02-18 23:16:29
221,93,109,2025-03-26 13:22:47
223,178,112,2025-03-18 10:33:26
224,61,130,2025-01-01 17:52:47
227,147,141,2025-02-15 18:16:33
228,21,141,2025-01-01 3:07:25
229,5,135,2025-03-02 18:55:10
230,92,119,2025-01-09 6:59:16
235,70,144,2025-02-06 0:16:10
236,1,141,2025-01-19 16:53:00
238,12,112,2025-03-15 4:05:49
240,46,120,2025-01-01 12:18:35
241,34,121,2025-03-23 15:45:00
243,78,108,2025-02-22 12:39:41
245,155,108,2025-02-17 15:19:51
248,47,123,2025-01-06 13:33:16
249,121,141,2025-03-29 18:17:25
250,56,107,2025-02-12 14:10:39
251,94,123,2025-01-01 16:14:22
253,63,148,2025-03-01 3:40:50
255,61,126,2025-03-22 19:37:58
256,81,136,2025-03-17 4:40:54
262,99,138,2025-01-12 23:13:31
263,180,109,2025-01-28 1:04:57
265,127,117,2025-01-23 15:43:35
268,28,109,2025-03-23 16:03:33
273,14,148,2025-02-25 12:47:15
276,115,133,2025-02-08 7:09:38
278,3,120,2025-01-20 4:43:41
282,18,136,2025-01-30 8:45:53
286,192,106,2025-02-04 12:05:30
287,119,131,2025-01-09 12:55:33
289,39,109,2025-03-21 5:42:06
290,185,108,2025-03-30 17:14:41
293,126,124,2025-01-05 15:12:39
295,25,134,2025-03-30 17:19:07
297,13,120,2025-02-20 4:29:49
300,138,141,2025-01-10 10:57:34
302,109,140,2025-03-17 11:27:37
303,146,148,2025-02-18 13:08:08
304,111,110,2025-01-26 9:30:06
305,111,138,2025-01-03 10:40:43
307,111,145,2025-02-21 7:37:20
310,113,125,2025-03-01 14:57:55
313,169,131,2025-01-07 12:04:29
314,101,138,2025-02-15 3:03:18
316,180,145,2025-01-18 13:27:01
317,26,135,2025-01-07 15:51:16
320,184,132,2025-03-02 10:54:44
322,109,102,2025-01-26 12:54:00
323,198,108,2025-01-22 15:34:35
325,33,132,2025-02-27 4:54:55
326,181,105,2025-02-04 9:40:07
327,150,140,2025-01-06 8:04:24
329,198,103,2025-02-28 15:55:06
330,70,112,2025-02-13 2:25:14
333,94,104,2025-01-23 14:02:24
334,75,143,2025-03-02 10:10:39
335,190,126,2025-03-11 0:13:39
338,95,107,2025-01-11 13:26:29
339,152,137,2025-03-17 19:13:27
343,31,143,2025-01-11 16:41:57
347,6,101,2025-01-09 23:07:24
349,75,143,2025-03-31 13:45:04
350,4,101,2025-01-27 11:56:41
351,79,137,2025-02-28 21:04:37
353,118,134,2025-02-27 9:56:22
354,113,133,2025-02-21 6:39:55
356,179,129,2025-02-10 23:56:52
357,62,107,2025-03-21 15:31:41
358,185,121,2025-02-28 5:46:36
359,194,143,2025-03-20 22:13:46
360,79,135,2025-03-01 17:53:49
361,136,104,2025-01-31 6:02:11
365,44,146,2025-01-30 15:08:00
368,154,129,2025-03-10 8:20:18
371,19,116,2025-01-18 21:17:22
372,20,115,2025-03-31 20:00:34
381,37,127,2025-02-01 4:42:45
382,126,139,2025-03-26 15:08:44
384,100,119,2025-03-14 12:06:05
385,77,139,2025-03-13 16:50:19
387,161,100,2025-03-30 5:30:09
388,134,129,2025-02-08 2:13:29
390,10,119,2025-01-10 9:06:55
393,138,117,2025-02-06 14:08:53
394,172,107,2025-03-24 21:09:06
395,130,138,2025-02-25 10:56:06
398,130,115,2025-03-02 5:43:10
399,84,111,2025-01-07 8:41:52
401,63,133,2025-01-07 11:30:32
403,73,135,2025-03-15 4:28:00
404,17,132,2025-03-31 7:00:43
406,143,149,2025-03-29 12:53:12
407,152,144,2025-02-27 4:42:03
409,163,140,2025-01-20 12:35:18
410,94,120,2025-03-21 13:06:09
412,49,126,2025-01-07 16:37:21
416,178,102,2025-03-05 21:47:34
417,78,122,2025-03-06 8:27:42
419,120,103,2025-03-08 22:25:59
421,162,105,2025-01-25 18:48:54
425,40,114,2025-01-05 3:19:14
427,150,136,2025-01-28 7:37:31
428,60,141,2025-01-25 5:48:44
430,93,146,2025-02-12 7:29:11
431,72,148,2025-01-04 22:46:55
432,11,141,2025-01-31 1:02:21
433,105,137,2025-03-28 22:56:06
435,60,144,2025-01-06 5:24:23
436,30,134,2025-03-09 5:35:00
438,165,123,2025-02-27 5:50:25
441,123,113,2025-02-21 1:43:07
442,78,105,2025-03-08 19:00:46
445,132,106,2025-02-10 10:52:49
446,89,113,2025-02-07 4:59:55
450,40,134,2025-03-27 4:58:29
451,72,101,2025-03-10 20:30:05
453,104,101,2025-01-22 17:18:16
455,32,117,2025-02-18 7:22:20
459,97,109,2025-02-12 6:36:48
462,143,124,2025-01-20 20:32:27
463,153,132,2025-03-31 15:33:47
465,194,130,2025-02-25 15:27:20
466,53,113,2025-02-20 5:53:43
467,104,100,2025-02-22 11:27:58
470,39,145,2025-01-03 13:50:55
471,179,102,2025-03-13 14:46:55
473,134,140,2025-01-10 3:23:36
475,135,124,2025-01-22 22:47:37
476,179,112,2025-03-18 6:47:28
479,192,120,2025-02-26 20:32:35
485,164,144,2025-03-20 22:03:35
486,157,111,2025-02-28 4:22:29
487,38,131,2025-02-10 12:09:00
488,185,131,2025-01-09 15:21:53
491,183,130,2025-01-19 7:05:54
497,5,131,2025-02-16 6:36:15
498,123,128,2025-03-18 19:56:35
499,74,142,2025-02-27 3:05:07
500,97,101,2025-03-14 8:08:37
504,159,104,2025-03-01 6:25:31
505,47,118,2025-03-02 13:04:39
509,15,101,2025-03-29 16:04:31
510,157,110,2025-03-25 23:27:21
513,157,114,2025-03-27 19:14:43
514,47,108,2025-01-13 10:13:48
516,76,118,2025-02-24 11:20:24
519,155,120,2025-03-12 12:04:18
521,115,127,2025-01-30 3:44:47
522,164,145,2025-01-10 10:34:00
528,148,103,2025-03-14 18:07:38
530,74,139,2025-03-15 22:49:27
531,104,116,2025-03-16 1:12:01
532,38,136,2025-01-28 3:18:37
534,200,128,2025-03-19 6:57:27
536,47,137,2025-01-04 14:41:49
538,46,149,2025-03-15 8:57:40
539,107,136,2025-02-01 14:08:18
540,140,134,2025-03-25 4:45:25
542,104,126,2025-02-02 1:44:12
544,111,121,2025-03-17 14:11:57
547,171,136,2025-03-20 20:12:26
548,100,121,2025-02-13 1:19:10
549,68,104,2025-01-22 1:03:50
550,133,101,2025-02-27 3:48:06
552,37,120,2025-03-03 2:05:46
553,72,137,2025-03-10 12:30:59
554,127,114,2025-01-19 3:27:31
556,92,109,2025-03-11 15:24:41
557,31,122,2025-03-31 9:40:35
558,122,138,2025-02-14 18:31:15
559,137,104,2025-02-08 17:06:43
560,51,100,2025-02-06 6:11:13
562,40,120,2025-01-24 23:31:12
563,41,125,2025-01-07 16:19:42
566,1,120,2025-03-16 10:09:26
567,46,117,2025-01-26 6:58:40
570,90,131,2025-03-17 10:16:56
571,110,135,2025-01-14 23:59:02
575,1,110,2025-01-21 3:01:47
576,63,120,2025-01-15 10:22:51
577,182,125,2025-03-19 18:43:53
582,149,139,2025-01-09 0:23:37
587,57,137,2025-03-21 9:32:42
591,35,112,2025-02-03 8:15:58
594,90,116,2025-01-18 23:54:19
595,75,108,2025-03-04 11:52:13
597,130,100,2025-02-22 0:24:26
598,135,101,2025-01-22 14:28:59
599,162,147,2025-02-04 16:40:03
600,91,128,2025-03-25 12:56:40
601,17,132,2025-02-21 19:54:38
602,128,109,2025-01-19 3:06:48
604,187,139,2025-01-07 0:12:26
605,108,120,2025-01-14 15:26:32
608,152,133,2025-02-10 21:28:35
609,25,107,2025-03-05 16:24:12
615,177,122,2025-03-28 14:58:37
620,156,131,2025-02-08 14:38:08
622,49,100,2025-02-14 16:19:11
623,199,122,2025-01-27 19:32:20
624,81,136,2025-02-15 3:34:57
626,105,112,2025-02-28 23:24:58
627,177,107,2025-01-21 7:41:48
628,148,122,2025-01-20 2:06:30
631,63,144,2025-03-16 11:41:43
634,49,123,2025-03-25 14:32:12
635,71,116,2025-01-28 2:41:29
639,123,139,2025-01-01 1:20:29
640,184,130,2025-02-22 20:37:26
641,62,145,2025-01-23 10:33:27
642,32,135,2025-01-13 0:12:12
643,158,110,2025-02-21 7:59:12
645,49,118,2025-01-07 7:29:41
646,173,106,2025-03-08 9:23:14
649,168,104,2025-01-03 5:52:30
653,78,107,2025-03-18 12:09:41
656,194,146,2025-02-02 12:25:29
658,114,147,2025-03-09 16:04:40
660,179,116,2025-01-06 20:42:49
661,63,130,2025-03-09 8:20:30
666,55,101,2025-03-21 6:39:17
668,131,149,2025-03-13 0:55:51
670,10,148,2025-02-23 18:59:25
671,110,135,2025-03-20 12:21:03
672,162,103,2025-01-24 0:51:07
681,65,111,2025-01-11 8:22:31
682,57,126,2025-01-23 5:23:57
683,67,139,2025-03-15 9:23:51
688,51,115,2025-01-12 6:42:44
689,97,131,2025-02-07 10:30:07
691,8,133,2025-03-11 10:15:51
694,96,114,2025-03-15 20:15:25
696,78,139,2025-03-12 7:36:11
702,165,124,2025-02-01 21:51:21
703,182,149,2025-03-06 6:04:02
705,55,129,2025-03-14 18:25:29
706,176,119,2025-03-23 4:58:53
708,74,143,2025-01-09 10:56:27
711,151,148,2025-01-22 21:33:02
713,147,134,2025-02-21 10:52:57
